,epoch,train_loss,val_loss,train_acc,val_acc
0,73.0,0.8679957550807591,0.7710418427576784,"tensor(0.6674, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,74.0,0.8617075150900514,0.7689688577026618,"tensor(0.6743, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,75.0,0.8917446797781617,0.7638119429838462,"tensor(0.6629, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,76.0,0.8581686663801653,0.773439031155383,"tensor(0.6852, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,77.0,0.8942746911605779,0.768412676013884,"tensor(0.6670, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,78.0,0.8761145281095575,0.7646838827211349,"tensor(0.6825, device='cuda:0', dtype=torch.float64)","tensor(0.7213, device='cuda:0', dtype=torch.float64)"
0,79.0,0.8977252392873277,0.7658080976517474,"tensor(0.6670, device='cuda:0', dtype=torch.float64)","tensor(0.7336, device='cuda:0', dtype=torch.float64)"
0,80.0,0.8934893912642542,0.7667596134983126,"tensor(0.6524, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,81.0,0.8447994894354883,0.760750874144132,"tensor(0.6953, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
0,82.0,0.848438207250442,0.7690507906382201,"tensor(0.6816, device='cuda:0', dtype=torch.float64)","tensor(0.7254, device='cuda:0', dtype=torch.float64)"
0,83.0,0.8571887399158339,0.7647031692207836,"tensor(0.6788, device='cuda:0', dtype=torch.float64)","tensor(0.7295, device='cuda:0', dtype=torch.float64)"
